Tag,Type,Placeholder,ID,Value,Class,Classification
input,text,Enter User Name,txtUserName,username,login-control-css,1
input,password,Enter the Password,txtPwd,password,login-control-css,1
input,submit,a-button-input,btnSubmit,Submit,form-control,1
input,button,a-button-input,btnCancel,Cancel,form-control,1
input,text,UserName,login,log-in,form-control,1
input,text,Name,login,log-in,form-control,1
input,text,User,login,username,form-control,1
input,text,Type User Name,login,password,form-control,1
input,text,Name of the User,login,Submit,form-control,1
input,text,Enter User Name,login,Cancel,form-control,1
input,text,Enter Login Name,login,log-in,form-control,1
input,text,Input User Name,login,log-in,form-control,1
input,text,Input Name,login,log-in,form-control,1
input,text,Enter Name,login,log-in,form-control,1
input,text,UserName,Ok,OK,form-control,1
input,text,UserName,Sign In,username,form-control,1
input,text,UserName,Enter,password,form-control,1
input,text,UserName,Submit,Submit,form-control,1
input,text,UserName,Click to Enter,Cancel,form-control,1
input,text,UserName,Click to Login,log-in,form-control,1
input,text,UserName,Click to Sign In,log-in,form-control,1
input,text,UserName,login,log-in,form-control,1
input,text,UserName,login,log-in,login-text-control-style,1
input,text,UserName,login,log-in,login-control-style,1
input,text,UserName,login,log-in,login-field-control-style,1
input,text,UserName,login,log-in,login-text-field-style,1
input,text,UserName,login,log-in,login-text-style,1
input,text,UserName,login,log-in,login-text-css,1
input,text,UserName,login,log-in,login-control-css,1
input,text,Name,Ok,OK,form-control,1
input,text,Name,Sign In,Sign-In,form-control,1
input,text,Name,Enter,Enter here,form-control,1
input,text,Name,Submit,submit,form-control,1
input,text,Name,Click to Enter,log-in,form-control,1
input,text,Name,Click to Login,log-in,form-control,1
input,text,Name,Click to Sign In,log-in,form-control,1
input,text,Name,login,Sign-In,form-control,1
input,text,Name,login,Enter here,login-text-control-style,1
input,text,Name,login,submit,login-control-style,1
input,text,Name,login,log-in,login-field-control-style,1
input,text,Name,login,log-in,login-text-field-style,1
input,text,Name,login,log-in,login-text-style,1
input,text,Name,login,Sign-In,login-text-css,1
input,text,Name,login,Enter here,login-control-css,1
input,text,User,Ok,submit,form-control,1
input,text,User,Sign In,log-in,form-control,1
input,text,User,Enter,log-in,form-control,1
input,text,User,Submit,log-in,form-control,1
input,text,User,Click to Enter,Sign-In,form-control,1
input,text,User,Click to Login,Enter here,form-control,1
input,text,User,Click to Sign In,submit,form-control,1
input,text,User,login,log-in,login-text-control-style,1
input,text,User,login,log-in,login-control-style,1
input,text,User,login,log-in,login-field-control-style,1
input,text,User,login,submit,login-text-field-style,1
input,text,User,login,log-in,login-text-style,1
input,text,User,login,log-in,login-text-css,1
input,text,User,login,log-in,login-control-css,1
input,text,User,login,Sign-In,login-control-css,1
input,text,Type User Name,Ok,Enter here,form-control,1
input,text,Type User Name,Sign In,submit,form-control,1
input,text,Type User Name,Enter,log-in,form-control,1
input,text,Type User Name,Submit,log-in,form-control,1
input,text,Type User Name,Click to Enter,log-in,form-control,1
input,text,Type User Name,Click to Login,Sign-In,form-control,1
input,text,Type User Name,Click to Sign In,Enter here,form-control,1
input,text,Type User Name,login,submit,form-control,1
input,text,Type User Name,login,log-in,form-control,1
input,text,Type User Name,login,log-in,login-text-control-style,1
input,text,Type User Name,login,log-in,login-control-style,1
input,text,Type User Name,login,username,login-field-control-style,1
input,text,Type User Name,login,password,login-text-field-style,1
input,text,Type User Name,login,Submit,login-text-style,1
input,text,Type User Name,login,Cancel,login-text-css,1
input,text,Type User Name,login,log-in,login-control-css,1
input,text,Name of the User,Ok,log-in,form-control,1
input,text,Name of the User,Sign In,username,form-control,1
